Alimiento;Medida casera;Cantidad (g-ml);HC (g);Prot. (g);Grasa (g);Na (mg);K (mg);P (mg);Ca (mg);Fe (mg);Colest (mg);Purinas (mg);Fibra (g);Agua (g);Calorías
Arroz integral;1 cucharada;15 g;12.1;1.1;0.3;0.14;3.19;31.8;2.1;0.2;-;0.0;0.02;1.8;55.5
Arroz pulido;½ taza (té);70 g;56.3;4.7;0.3;0.35;6.44;65.7;17.0;0.6;-;0.0;0.04;8.4;246.7
Arroz integral;½ taza (té);70 g;54.3;5.3;1.3;0.63;14.88;148.4;22.4;1.1;-;0.0;0.1;8.4;250.1
Avena arrollada;1 cucharada;5 g;2.9;0.9;0.4;-;2.5;35.0;7.5;0.3;-;0.0;0.01;-;18.8
Avena (salvado);1 cucharada;5 g;3.2;0.7;0.5;0.01;1.76;20.0;4.0;0.2;-;0.0;0.01;0.4;20.1
Cereal All Bran;1 cucharada;5 g;3.6;0.6;0.1;5.13;7.46;-;-;1.1;-;-;-;-;17.7
Cereal All Bran;1 taza (té);30 g;21.6;3.6;0.6;30.78;44.76;-;-;6.3;-;-;-;-;106.2
Cereal Kellogs (cornflekes);1 cucharada;5 g;4.2;0.3;0;5.5;0.59;-;-;-;-;-;0.02;-;18
Cereal Kellogs (zucaritas);1 cucharada;5 g;4.7;0.2;0;3.33;-;-;-;0.8;-;-;0.02;-;19.6
Cereal Cerelac;1 cucharada;10 g;6.8;1.6;0.9;1.8;5.3;33.0;-;0.8;-;-;0.1;-;41.5
Cereal de arroz;1 taza (té);30 g;25.8;1.3;0.8;0.12;3.12;25.5;-;0.5;-;-;0.02;0.8;115.6
Cereal Nestúm (mixto);1 cucharada;5 g;4.2;0.6;0.1;1.4;1;7.7;-;0.9;-;-;0.04;-;20.1
Fécula de maíz (Maizena);1 cucharada;10 g;8.8;0.4;0.6;0.05;-;1.6;-;-;-;0.0;0;1.4;42.2
Fideo (fino);1 nido;45 g;35;7.1;0.4;0.36;5.98;59.8;2.7;1.3;-;-;0.5;4.9;171.6
Fideo (moñito); ¾ taza;70 g;52.5;7.7;0.7;0.21;-;98.0;15.4;0.8;-;-;0.2;8.4;247.1
Fideo (sopero);1 cucharada;10 g;7.7;1;0.1;0.37;1.71;9.8;-;0.3;-;-;0.01;1.3;35.7
Fideo (spaghetti);1 puño;70 g;51.2;8.4;1.5;1.05;-;112.0;18.2;0.9;-;-;0.03;8.8;251.9
Germen de trigo;1 cucharada;5 g;1.9;1.4;0.5;0.25;4.14;72.9;2.2;0.1;-;-;0.13;0.6;17.7
Harina 000;1 cucharada;15 g;10.7;1.5;0.2;0.03;1.62;14.0;-;-;-;2.1;0;2.1;50.2
Harina de arroz;1 cucharada;10 g;8.4;0.8;0.1;0.11;0.73;7.8;-;0.1;-;-;0.01;0.6;37.7
Harina de maíz;1 cucharada;10 g;7.6;0.5;0.3;0.01;1.2;25.6;1.8;0.2;-;3.7;-;1.2;35.1
Harina de soja;1 cucharada;10 g;3.7;4.3;0.7;0.01;18.59;6.3;-;0.9;-;38.0;0.03;0.8;38.3
Harina leudante;1 cucharada;10 g;7.2;0.9;0.1;8.9;-;4.2;11.0;0.1;-;1.4;0;1.4;33.3
Salvado de trigo;1 cucharada;5 g;3.1;0.8;0.2;0.05;5.6;63.8;5.9;0.7;-;-;0.05;0.6;17.4
PANIFICADOS;;;0;0;0;;;;;;;;;;0
Galleta;1 chica;50 g;35.7;6.4;0.3;1.5;5.17;57.5;-;-;-;-;0.01;5.5;171.1
Galleta;1 mediana;70 g;53;9;0.5;2.1;7.24;80.5;-;-;-;-;0.02;7.7;252.5
Galleta molida;1 cucharada;10 g;7.6;1.3;0.1;0.3;-;-;-;-;-;-;0;0.3;36.5
Galletita Cerealita;1 unidad;6 g;4;0.6;0.9;3.3;-;-;-;-;-;-;-;0.2;26.5
Galletita Criollitas;1 unidad;7 g;4.9;0.9;0.7;3.83;-;-;-;-;-;-;-;0.2;29.5
Galletita Criollitas mini;1 unidad;4 g;2.8;0.5;0.4;2.19;-;-;-;-;-;-;-;0.1;16.8
Galletita Familiares de agua;1 unidad;7 g;5.2;0.8;0.6;4.49;-;17.1;-;-;-;-;-;0.2;29.6
Galletita Familiares integral;1 unidad;6 g;4.1;0.8;0.7;6.44;-;19.2;3.8;0.1;-;-;0.05;0.2;25.9
Galletita Familiares salvado;1 unidad;6 g;4.2;0.7;0.6;7.11;-;-;-;-;-;-;-;0.2;25
Galletita Sándwich sin sal;1 unidad;7 g;4.8;0.7;1;1.64;-;-;-;-;-;-;-;0.2;31
Palito/rosquitas;5 unidades;50 g;36.3;6.3;0.1;32.4;-;-;-;-;-;0.0;-;-;171.1
Pan Felipe (bollo);1 unidad;50 g;28.7;4.7;0.1;13.7;4.65;53.5;-;0.6;-;0.0;0.01;15.5;134.5
Pan francés;1 rebanada;30 g;17.2;2.8;0.1;8.22;2.79;32.1;6.6;0.3;-;0.0;0.01;9.3;80.9
Pan salvado;1 unidad;30 g;15.3;2.1;1.4;28.87;7.68;76.2;-;-;-;12.0;0.05;10.8;82.2
Pan Viena;1 unidad;40 g;25;3.9;0.8;11;-;62.8;15.6;0.3;-;0.0;0.01;10.0;122.8
DULCES;;;0;0;0;;;;;;;;;;0
Azúcar blanca granulada;1 cucharada;10 g;10;0;0;-;-;-;-;-;-;0.0;-;-;40
Azúcar impalpable;1 cucharada;10 g;10;0;0;0.01;0.03;-;-;-;-;0.0;-;0.1;40
